mesaj,etiket
ürünüm bozuk geldi,şikayet
siparişim hala gelmedi,şikayet
internet bağlantım sürekli kopuyor,şikayet
uygulama açılmıyor,şikayet
ödeme yaptım ama sistemde görünmüyor,şikayet
destek ekibiniz çok yardımcı oldu,teşekkür
hızlı dönüş yaptığınız için teşekkür ederim,teşekkür
sorunumu çözdüğünüz için teşekkürler,teşekkür
ilginiz için teşekkür ederim,teşekkür
çok yardımcı oldunuz teşekkürler,teşekkür
kargo ne zaman gelir,soru
üyelik nasıl iptal edilir,soru
şifremi nasıl değiştirebilirim,soru
ürünü nasıl iade edebilirim,soru
kampanya ne zamana kadar geçerli,soru
uygulamaya canlı destek eklenebilir,öneri
gece modu özelliği olsa güzel olur,öneri
bildirim ayarları daha detaylı olabilir,öneri
arama özelliği geliştirilmeli,öneri
ürün filtreleme seçeneği eklenebilir,öneri
